"POLICYID";"FUNDID";"FUNDVALUEINITIAL";"FUNDINTERESTTARIFF";"FUNDABTYPE";"FUNDBONUSLOYALTYINDICATOR";"FUNDUNITSINITIAL";"FUNDRATEINITIAL";"FUNDULINDICATOR";"FUNDMATURITYTYPE";"FUNDGUARANTEEDCAPITAL";"FUNDPREMIUMALLOCATIONPERUNAGE";"FUNDRISKPREMIUMDEDUCTIONINDICA";"FUNDFICTIVETYPE";"FUNDPROFITSHARINGID";"FUNDPROFITSHARINGSYSTEM";"FUNDPROFITSHARINGRESERVE";"FUNDPROFITSHARINGCAPITAL"
"6818069";28;0;0;4;0;0;70,32;1;1;-,006252;0;1;0;0;0;0;0
"6818069";32;701,63813121;0;3;0;7,272369;96,48;1;1;0;1;1;0;0;0;0;0
"6818069";52;98,09782102;0;1;0;1,016768;96,48;1;1;0;0;1;0;0;0;0;0
"1103493024";31;15576,1062853;0;3;0;161,443888;96,48;1;1;12467,01;1;1;0;0;0;0;0
"1103740730";31;31978,48860109;0;3;0;331,451996;96,48;1;1;39455,56;1;1;0;0;0;0;0
"3045633";28;0;0;4;0;0;70,32;1;1;13672,910593;0;1;0;0;0;0;0
"3045633";32;6906,45535762;0;3;0;71,584322;96,48;1;1;0;1;1;0;0;0;0;0
"3045633";52;604,31283906;0;1;0;6,263607;96,48;1;1;0;0;1;0;0;0;0;0
"70343702";27;2126,59628845;0;3;0;30,241699;70,32;1;1;0;0;1;0;0;0;0;0
"70343702";30;1024,88804299;0;3;0;6,734267;152,19;1;1;0;0;1;0;0;0;0;0
"70343702";47;166,47364573;0;3;0;1,824969;91,22;1;1;0;0;1;0;0;0;0;0
"70343702";59;0;0;3;0;0;53,12;1;1;611,000001;0;1;0;0;0;0;0
"TPP0011833";25;1013,26918752;0;3;0;9,628175;105,24;1;1;0;0;1;0;0;0;0;0
"TPP0011833";27;1164,30128858;0;3;0;16,557186;70,32;1;1;0;0;1;0;0;0;0;0
"TPP0011833";28;5821,50643446;0;3;0;82,785928;70,32;1;1;7235,677786;0;1;0;0;0;0;0
"6827520";31;19130,12037592;0;3;1;198,280684;96,48;1;1;0;1;1;0;0;0;0;0
"6827520";51;5202,67991986;0;1;1;53,924958;96,48;1;1;0;0;1;0;0;0;0;0
"6827520";59;0;0;4;0;0;53,12;1;1;37710,002542;0;1;0;0;0;0;0
"6827520";60;0;0;2;0;0;53,12;1;1;0;0;1;0;0;0;0;0
"101156607";11;133,170397;0;3;0;133,170397;1;1;1;0;0;0;3;0;0;0;0
"101156607";12;9255,61606739;0;3;0;125,789835;73,58;1;1;8470;1;0;0;0;0;0;0
"101156607";15;80,51439332;0;3;0;1,094243;73,58;1;1;0;0;1;0;0;0;0;0
"820076360";28;15414,40516356;0;3;0;219,203714;70,32;1;1;37012;1;1;0;0;0;0;0
"1500546869900";88;17174,55375942;0;3;0;196,595167;87,36;1;1;21846,1;1;1;0;0;0;0;0
"7618385";31;8090,2880337;0;3;1;83,854561;96,48;1;1;0;0;1;0;0;0;0;0
"7618385";51;284,23807047;0;1;1;2,946083;96,48;1;1;0;0;1;0;0;0;0;0
"7618385";59;40145,51614008;0;4;0;755,751433;53,12;1;1;38523,352655;1;1;0;0;0;0;0
"7618385";60;1199,8652555;0;2;0;22,587825;53,12;1;1;0;0;1;0;0;0;0;0
"TPP0094287";28;2983,47310803;0;3;0;42,427092;70,32;1;1;3581,25;0;1;0;0;0;0;0
"1900025163500";88;10651,41292575;0;3;0;121,925514;87,36;1;1;10616,138897;1;1;0;0;0;0;0
"LYS3041936";89;7117,67952605;0;3;0;81,475269;87,36;1;1;7352,06;1;1;0;0;0;0;0
