jaar;swap.cra.zero.sw360;stress
1;-0,00595;-0,01595
2;-0,005251839;-0,015251839
3;-0,0044546;-0,0144546
4;-0,003657214;-0,013657214
5;-0,002859079;-0,012859079
6;-0,002059564;-0,012059564
7;-0,001448416;-0,011448416
8;-0,000685309;-0,010685309
9;1,01E-05;-0,009989903
10;0,00065762;-0,00934238
11;0,001182543;-0,008817457
12;0,00179769;-0,00820231
13;0,002365022;-0,007634978
14;0,002811161;-0,007188839
15;0,003112356;-0,006887644
16;0,003275768;-0,006724232
17;0,0033872;-0,0066128
18;0,00352378;-0,00647622
19;0,003738559;-0,006261441
20;0,00406872;-0,00593128
21;0,004529579;-0,005470421
22;0,005088705;-0,004911295
23;0,005712543;-0,004287457
24;0,006376703;-0,003623297
25;0,007063397;-0,002936603
26;0,007759633;-0,002240367
27;0,008455943;-0,001544057
28;0,00914547;-0,00085453
29;0,009823298;-0,000176702
30;0,010485966;0,000485966
31;0,011131105;0,001131105
32;0,011757164;0,001757164
33;0,012363213;0,002363213
34;0,012948783;0,002948783
35;0,01351375;0,00351375
36;0,014058249;0,004058249
37;0,014582603;0,004582603
38;0,015087271;0,005087271
39;0,015572807;0,005572807
40;0,01603983;0,00603983
41;0,016489002;0,006489002
42;0,016921005;0,006921005
43;0,017336534;0,007336534
44;0,017736279;0,007736279
45;0,018120926;0,008120926
46;0,018491141;0,008491141
47;0,018847577;0,008847577
48;0,019190863;0,009190863
49;0,019521603;0,009521603
50;0,01984038;0,00984038
51;0,02014775;0,01014775
52;0,020444245;0,010444245
53;0,020730371;0,010730371
54;0,02100661;0,01100661
55;0,02127342;0,01127342
56;0,021531237;0,011531237
57;0,021780474;0,011780474
58;0,022021521;0,012021521
59;0,022254751;0,012254751
60;0,022480516;0,012480516
61;0,022699148;0,012699148
62;0,022910963;0,012910963
63;0,023116261;0,013116261
64;0,023315326;0,013315326
65;0,023508425;0,013508425
66;0,023695813;0,013695813
67;0,023877733;0,013877733
68;0,024054411;0,014054411
69;0,024226066;0,014226066
70;0,024392903;0,014392903
71;0,024555117;0,014555117
72;0,024712894;0,014712894
73;0,024866409;0,014866409
74;0,025015831;0,015015831
75;0,025161317;0,015161317
76;0,025303019;0,015303019
77;0,02544108;0,01544108
78;0,025575638;0,015575638
79;0,025706822;0,015706822
80;0,025834756;0,015834756
81;0,025959559;0,015959559
82;0,026081342;0,016081342
83;0,026200214;0,016200214
84;0,026316277;0,016316277
85;0,026429628;0,016429628
86;0,026540361;0,016540361
87;0,026648565;0,016648565
88;0,026754325;0,016754325
89;0,026857723;0,016857723
90;0,026958836;0,016958836
91;0,027057739;0,017057739
92;0,027154504;0,017154504
93;0,027249199;0,017249199
94;0,02734189;0,01734189
95;0,027432639;0,017432639
96;0,027521506;0,017521506
97;0,02760855;0,01760855
98;0,027693826;0,017693826
99;0,027777386;0,017777386
100;0,027859283;0,017859283
101;0,027939565;0,017939565
102;0,028018279;0,018018279
103;0,028095472;0,018095472
104;0,028171186;0,018171186
105;0,028245463;0,018245463
106;0,028318345;0,018318345
107;0,02838987;0,01838987
108;0,028460075;0,018460075
109;0,028528997;0,018528997
110;0,028596671;0,018596671
111;0,02866313;0,01866313
112;0,028728406;0,018728406
113;0,028792531;0,018792531
114;0,028855535;0,018855535
115;0,028917448;0,018917448
116;0,028978296;0,018978296
117;0,029038108;0,019038108
118;0,02909691;0,01909691
119;0,029154727;0,019154727
120;0,029211583;0,019211583
121;0,029267502;0,019267502
122;0,029322508;0,019322508
123;0,029376623;0,019376623
124;0,029429867;0,019429867
125;0,029482262;0,019482262
126;0,029533829;0,019533829
127;0,029584585;0,019584585
128;0,029634551;0,019634551
129;0,029683745;0,019683745
130;0,029732184;0,019732184
131;0,029779886;0,019779886
132;0,029826868;0,019826868
133;0,029873144;0,019873144
134;0,029918733;0,019918733
135;0,029963648;0,019963648
136;0,030007904;0,020007904
137;0,030051516;0,020051516
138;0,030094498;0,020094498
139;0,030136863;0,020136863
140;0,030178625;0,020178625
141;0,030219796;0,020219796
142;0,030260388;0,020260388
143;0,030300415;0,020300415
144;0,030339887;0,020339887
145;0,030378816;0,020378816
146;0,030417213;0,020417213
147;0,03045509;0,02045509
148;0,030492456;0,020492456
149;0,030529321;0,020529321
150;0,030565697;0,020565697
